timestamp,channel_id,value
2026-01-02,Channel_A,100.2653
2026-01-02,Channel_B,99.5232
2026-01-02,Channel_C,101.2748
2026-01-02,Channel_D,99.8819
2026-01-02,Channel_E,99.0442
2026-01-05,Channel_A,100.8519
2026-01-05,Channel_B,98.381
2026-01-05,Channel_C,103.0552
2026-01-05,Channel_D,99.5778
2026-01-05,Channel_E,100.235
2026-01-06,Channel_A,102.3893
2026-01-06,Channel_B,100.3186
2026-01-06,Channel_C,105.4582
2026-01-06,Channel_D,99.1345
2026-01-06,Channel_E,101.7399
2026-01-07,Channel_A,103.913
2026-01-07,Channel_B,100.7076
2026-01-07,Channel_C,104.7866
2026-01-07,Channel_D,98.2228
2026-01-07,Channel_E,100.7957
2026-01-08,Channel_A,104.3146
2026-01-08,Channel_B,100.444
2026-01-08,Channel_C,105.4884
2026-01-08,Channel_D,96.1967
2026-01-08,Channel_E,99.8779
2026-01-09,Channel_A,104.6586
2026-01-09,Channel_B,100.0299
2026-01-09,Channel_C,106.5033
2026-01-09,Channel_D,96.6404
2026-01-09,Channel_E,101.2105
2026-01-12,Channel_A,104.1192
2026-01-12,Channel_B,100.1927
2026-01-12,Channel_C,108.0371
2026-01-12,Channel_D,96.4461
2026-01-12,Channel_E,99.4115
2026-01-13,Channel_A,105.0429
2026-01-13,Channel_B,98.9995
2026-01-13,Channel_C,108.7861
2026-01-13,Channel_D,95.3908
2026-01-13,Channel_E,98.2593
2026-01-14,Channel_A,103.2582
2026-01-14,Channel_B,99.8859
2026-01-14,Channel_C,108.8092
2026-01-14,Channel_D,94.4964
2026-01-14,Channel_E,98.4958
2026-01-15,Channel_A,104.2884
2026-01-15,Channel_B,100.9225
2026-01-15,Channel_C,108.4496
2026-01-15,Channel_D,93.2085
2026-01-15,Channel_E,99.0309
2026-01-16,Channel_A,104.2111
2026-01-16,Channel_B,100.7739
2026-01-16,Channel_C,108.742
2026-01-16,Channel_D,92.5328
2026-01-16,Channel_E,98.8327
2026-01-19,Channel_A,103.358
2026-01-19,Channel_B,100.1141
2026-01-19,Channel_C,108.118
2026-01-19,Channel_D,90.7053
2026-01-19,Channel_E,97.5105
2026-01-20,Channel_A,102.7947
2026-01-20,Channel_B,101.8779
2026-01-20,Channel_C,107.9043
2026-01-20,Channel_D,91.3144
2026-01-20,Channel_E,96.3449
2026-01-21,Channel_A,102.5624
2026-01-21,Channel_B,103.124
2026-01-21,Channel_C,107.6531
2026-01-21,Channel_D,92.0868
2026-01-21,Channel_E,95.4356
2026-01-22,Channel_A,102.3924
2026-01-22,Channel_B,102.419
2026-01-22,Channel_C,107.7725
2026-01-22,Channel_D,92.7659
2026-01-22,Channel_E,95.4248
2026-01-23,Channel_A,102.2282
2026-01-23,Channel_B,100.5289
2026-01-23,Channel_C,107.6499
2026-01-23,Channel_D,93.0997
2026-01-23,Channel_E,94.6403
2026-01-26,Channel_A,102.5423
2026-01-26,Channel_B,98.7124
2026-01-26,Channel_C,107.7072
2026-01-26,Channel_D,92.2946
2026-01-26,Channel_E,95.1343
2026-01-27,Channel_A,102.0335
2026-01-27,Channel_B,99.6089
2026-01-27,Channel_C,108.1875
2026-01-27,Channel_D,92.0058
2026-01-27,Channel_E,95.7228
2026-01-28,Channel_A,100.2299
2026-01-28,Channel_B,98.8898
2026-01-28,Channel_C,108.6644
2026-01-28,Channel_D,90.855
2026-01-28,Channel_E,94.4462
2026-01-29,Channel_A,99.3174
2026-01-29,Channel_B,98.6468
2026-01-29,Channel_C,110.7848
2026-01-29,Channel_D,91.5786
2026-01-29,Channel_E,93.04
2026-01-30,Channel_A,98.3557
2026-01-30,Channel_B,99.1289
2026-01-30,Channel_C,111.1535
2026-01-30,Channel_D,91.4066
2026-01-30,Channel_E,92.8899
2026-02-02,Channel_A,98.6889
2026-02-02,Channel_B,100.0638
